k2130,1891.00,1877.00,2
k2141,1617.69,1980.00,2
k2142,1603.08,1944.00,2
k2148,1418.46,2058.46,2
k2149,1400.00,2017.00,2
k2147,1390.77,1987.69,2
k2144,1576.15,1886.92,2
240,1562.31,1851.54,2
k2145,1496.92,1947.69,2
k2146,1486.92,1920.77,2
239,1471.54,1884.62,2
k2143,1589.23,1913.08,2
k2029,1012.31,2230.00,2
k2030,960.77,2250.77,2
k2163,908.33,2273.00,2
k2027,1097.69,2444.62,2
k2028,1042.31,2469.23,2
207,990.77,2490.00,2
k2025,1288.46,2943.08,2
k2026,1235.38,2964.62,2
206,1182.31,2986.92,2
k2016,1355.38,3126.15,2
k2017,1306.92,3150.77,2
k2018,1257.69,3167.69,2
k2019,1287.69,3249.23,2
204,1313.08,3240.77,2
k2020,1303.08,3286.92,2
k2021,1260.83,3304.17,2
k2022,1220.77,3321.54,2
203,1209.23,3291.54,2
k2023,1239.23,3370.77,2
202,1256.15,3415.38,2
k2024,1370.77,3469.23,2
201,1370.77,3524.62,2
k2035,957.69,2089.23,2
k2036,996.92,2072.31,2
k2037,1030.00,2058.46,2
k2038,1089.23,2038.46,2
s24,992.31,1790.77,2
s23,938.46,1810.77,2
k2034,916.92,1990.00,2
k2033,867.50,2008.33,2
k2032,814.62,2026.92,2
k2031,850.77,2138.46,2
208,803.85,2156.15,2
k2039,804.62,1716.15,2
k2040,787.69,1671.54,2
k2041,746.67,1685.83,2
k2042,703.85,1703.85,2
209,660.00,1683.08,2
k2043,638.46,1543.85,2
k2044,587.69,1393.85,2
k2045,628.46,1379.23,2
k2050,575.38,1353.85,2
k2049,555.38,1302.31,2
k2051,526.92,1311.54,2
211a,485.38,1326.92,2
k2052,539.17,1262.50,2
k2053,516.92,1200.77,2
k2054,496.92,1208.46,2
k2055,460.00,1223.85,2
k2056,484.62,1180.00,2
211b,425.38,1236.92,2
210,542.31,1411.54,2
k2046,671.67,1362.50,2
k2047,638.46,1273.08,2
k2048,593.33,1288.33,2
k2060,516.92,962.31,2
k2059,474.62,978.46,2
k2164,494.62,906.15,2
213,468.46,843.85,2
k2057,445.38,1072.31,2
k2058,420.00,998.46,2
212,474.62,1060.00,2
k206,713.08,883.85,2
k2061,693.08,830.00,2
k2063,647.69,798.46,2
k2062,677.69,788.46,2
214,603.85,813.85,2
k2064,1012.31,765.38,2
k2065,990.77,716.15,2
215,967.69,664.62,2
k2066,1129.23,719.23,2
k2067,1110.00,670.83,2
k2068,1054.62,633.08,2
k2069,1122.31,609.23,2
s29,964.62,402.31,2
s30,1036.92,374.62,2
k2070,1245.00,670.83,2
k2071,1226.92,622.31,2
216a,1184.62,598.46,2
k2072,1211.54,588.46,2
k2073,1252.31,573.08,2
216,1306.92,552.31,2
k2074,1536.92,562.31,2
k2075,1516.92,512.31,2
k2076,1636.15,523.85,2
k2077,1615.38,476.15,2
k2078,1702.31,593.85,2
k2079,1772.00,593.85,2
k2085,2027.69,593.85,2
k2084,2027.69,509.23,2
k2080,1772.00,509.23,2
k2081,1772.00,428.46,2
k2082,1901.54,428.46,2
219,1901.54,382.31,2
k2083,2027.69,428.46,2
217,1500.77,470.77,2
218,1600.77,432.31,2
k2088,2196.92,470.77,2
k2090,2296.92,512.31,2
221,2317.69,466.15,2
220,2214.62,423.85,2
k2087,2170.77,528.46,2
k2086,2087.69,593.85,2
k2089,2267.69,570.00,2
k2091,2436.00,643.08,2
k2092,2462.00,580.77,2
222,2480.77,530.77,2
k2093,2667.69,743.08,2
k2094,2694.62,677.69,2
k2095,2684.62,623.08,2
k2096,2743.85,646.15,2
s32,2846.92,422.31,2
s31,2788.00,396.92,2
k2131,1891.67,1810.83,2
